Execution Number,CPU Time(s),ROC AUC,Recall,Specificity
1,2.4617068767547607,0.9971907961991687,0.9322818409160707,0.9863325740318907
2,2.4410080909729004,0.9975550480220768,0.9213793708594744,0.9863325740318907
3,2.4148640632629395,0.9967858692978813,0.9388408721976045,0.9829157175398633
4,2.61329984664917,0.9978962514667263,0.9377001711051639,0.9863325740318907
5,2.4007012844085693,0.9977979242118354,0.9405299872767955,0.9851936218678815
6,2.572122812271118,0.99688091106579,0.9435352959241873,0.9806378132118451
7,2.6052138805389404,0.9975602698226798,0.9162242793840214,0.9863325740318907
8,2.9889981746673584,0.9978706296652041,0.9329180011407011,0.9863325740318907
9,2.4076337814331055,0.9976032809697498,0.9277848462247181,0.9874715261958997
10,2.4253578186035156,0.9969387756121822,0.9436230421620673,0.9829157175398633
